Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"354","Unassigned","BN Agrochem Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"362","Unassigned","BOROSIL RENEWABLES LIMITED","https://borosilrenewables.com","readymade-fallback","HIGH","NO","N/A","sales.lig@borosil.com","[Investor Grievance / Compliance Officer Email] brl@borosil.com; [General Contact Email] sales.lig@borosil.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"364","Unassigned","BOSCH HOME COMFORT INDIA LIMITED","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"367","Unassigned","BPL Limited","https://bpllimited.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"373","Unassigned","BSE Limited","https://bseindia.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"375","Unassigned","BSL Limited","https://bslshaders.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"247","Unassigned","B.A.G Films and Media Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"289","Unassigned","B&B Triplewall Containers Limited","https://booking.com","readymade-fallback","HIGH","NO","N/A","customer.service@booking.com","[General Contact Email] customer.service@booking.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"343","Unassigned","B. L. Kashyap and Sons Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"355","Unassigned","B & A Limited","https://booking.com","readymade-fallback","HIGH","NO","N/A","customer.service@booking.com","[General Contact Email] customer.service@booking.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"246","Unassigned","Bafna Pharmaceuticals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"248","Unassigned","Baid Finserv Limited","https://baidfinserv.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"249","Unassigned","Bajaj Auto Limited","https://bajajauto.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"250","Unassigned","Bajaj Consumer Care Limited","https://bajajconsumercare.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"251","Unassigned","Bajaj Electricals Limited","https://bajajelectricals.com","readymade-fallback","HIGH","NO","N/A","N/A","[General Contact Email] ","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"260","Unassigned","Bajaj Finance Limited","https://bajajhousingfinance.in","readymade-fallback","HIGH","NO","N/A","bhflwecare@bajajhousing.co.in","[General Contact Email] bhflwecare@bajajhousing.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 35. Lighthouse A11y: 30/100."
"252","Unassigned","Bajaj Finserv Limited","https://bajajfinserv.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"253","Unassigned","Bajaj Healthcare Limited","https://bajajhealth.com","readymade-fallback","HIGH","NO","N/A","info@bajajhealth.com","[General Contact Email (Guessed Pattern)] info@bajajhealth.com; [Investor Grievance Email (Guessed Pattern)] contact@bajajhealth.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 6. Lighthouse A11y: 76/100."
"255","Unassigned","Bajaj Hindusthan Sugar Limited","https://bajajhindusthan.com","readymade-fallback","HIGH","NO","N/A","investor.helpdesk@in.mpms.mufg.com","[Investor Grievance / Compliance Officer Email] investor.helpdesk@in.mpms.mufg.com; [General Contact Email] investor.helpdesk@in.mpms.mufg.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 26. Lighthouse A11y: 30/100."
"256","Unassigned","Bajaj Holdings & Investment Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"254","Unassigned","Bajaj Housing Finance Limited","https://bajajhousingfinance.in","readymade-fallback","HIGH","NO","N/A","bhflwecare@bajajhousing.co.in","[General Contact Email] bhflwecare@bajajhousing.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 35. Lighthouse A11y: 30/100."
"258","Unassigned","Bajaj Steel Industries Limited","https://bajajngp.com","readymade-fallback","HIGH","NO","N/A","info@bajajngp.com","[General Contact Email (Guessed Pattern)] info@bajajngp.com; [Investor Grievance Email (Guessed Pattern)] contact@bajajngp.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"259","Unassigned","Bajel Projects Limited","https://bajelprojects.com","readymade-fallback","HIGH","NO","N/A","dematremat@in.mpms.mufg.com","[General Contact Email] dematremat@in.mpms.mufg.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"268","Unassigned","Bal Pharma Limited","https://balpharma.com","readymade-fallback","HIGH","NO","N/A","info@balpharma.com","[General Contact Email] info@balpharma.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"263","Unassigned","Balaji Amines Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"262","Unassigned","Balaji Telefilms Limited","https://balajitelefilms.com","readymade-fallback","HIGH","NO","N/A","info@balajitelefilms.com","[General Contact Email (Guessed Pattern)] info@balajitelefilms.com; [Investor Grievance Email (Guessed Pattern)] contact@balajitelefilms.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"266","Unassigned","Balkrishna Industries Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"265","Unassigned","Balkrishna Paper Mills Limited","https://bpml.in","readymade-fallback","HIGH","NO","N/A","support@purvashare.com","[General Contact Email] support@purvashare.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 19. Lighthouse A11y: 30/100."
"341","Unassigned","Balmer Lawrie Investments Limited","https://blinv.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"267","Unassigned","Balmer Lawrie & Company Limited","https://balmerlawrie.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"269","Unassigned","Balrampur Chini Mills Limited","https://chini.com","readymade-fallback","HIGH","NO","N/A","info@chini.com","[General Contact Email (Guessed Pattern)] info@chini.com; [Investor Grievance Email (Guessed Pattern)] contact@chini.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"270","Unassigned","Balu Forge Industries Limited","https://baluindustries.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"271","Unassigned","Banaras Beads Limited","https://banarasbead.com","readymade-fallback","HIGH","NO","N/A","info@banarasbead.com","[General Contact Email] info@banarasbead.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 41. Lighthouse A11y: 30/100."
"273","Unassigned","Banco Products (I) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"274","Unassigned","Bandhan Bank Limited","https://bandhanbank.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"275","Unassigned","Bang Overseas Limited","https://banggroup.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"277","Unassigned","Bank of Baroda","https://bankofbaroda.in","readymade-fallback","HIGH","NO","N/A","info@bankofbaroda.in","[General Contact Email (Guessed Pattern)] info@bankofbaroda.in; [Investor Grievance Email (Guessed Pattern)] contact@bankofbaroda.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"278","Unassigned","Bank of India","https://bankofindia.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"276","Unassigned","Banka BioLoo Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"282","Unassigned","Bannari Amman Spinning Mills Limited","https://bannarimills.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"272","Unassigned","Bannari Amman Sugars Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"279","Unassigned","Bansal Wire Industries Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"280","Unassigned","Banswara Syntex Limited","https://banswarasyntex.com","readymade-fallback","HIGH","NO","N/A","info@banswarasyntex.com","[General Contact Email] info@banswarasyntex.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 21. Lighthouse A11y: 30/100."
"381","Unassigned","Barak Valley Cements Limited","https://barakcement.com","readymade-fallback","HIGH","NO","N/A","delhi@barakcement.com","[Investor Grievance / Compliance Officer Email] delhi@barakcement.com; [General Contact Email] delhi@barakcement.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
